zip,median_hh_income
75033,174762
75034,111122
75035,166590
75036,151645
75038,68990
75039,104853
75040,74519
75041,70308
75042,64266
75043,76778
75044,92178
75048,131087
75050,73274
75051,58245
75052,89301
75056,119682
75057,82803
75060,71575
75061,63798
75062,72704
75063,117133
75065,102597
75067,78752
75068,126635
75069,85327
75070,112352
75071,132447
75074,88697
75075,98365
75077,127211
75078,196564
75080,92903
75081,93165
75082,110534
75087,129484
75088,105313
75089,118318
75090,55543
75092,68036
75093,124563
75094,171476
75098,122089
75104,102875
75114,88013
75115,82782
75116,67390
75119,77053
75125,79545
75126,103673
75134,69778
75135,111235
75137,82253
75141,48159
75142,80028
75146,68071
75149,70774
75150,65440
75152,94935
75154,100388
75159,72897
75160,71801
75165,86391
75166,132101
75167,117714
75172,59457
75707,84954
75708,85441
75757,91165
75762,90057
75771,93462
75791,92107
75961,41495
75964,56762
75965,55291
76001,105311
76002,100667
76005,168806
76006,59139
76008,168314
76009,79755
76010,45466
76011,54038
76012,88141
76013,70471
76014,60333
76015,73709
76016,108885
76017,90083
76018,88288
76020,87298
76021,87097
76022,72560
76028,101138
76031,69155
76034,217914
76036,97973
76039,83140
76040,72661
76051,111160
76052,143555
76053,64141
76054,109881
76060,119156
76063,118946
76065,127756
76067,62190
76078,99866
76082,92485
76084,102115
76086,60578
76087,114306
76092,250001
76102,75859
76103,60172
76104,61658
76105,45770
76106,55431
76107,79990
76108,80412
76109,100507
76110,69790
76111,60194
76112,57724
76114,62073
76115,52411
76116,56187
76117,51670
76118,94530
76119,51267
76120,80922
76123,102768
76126,113905
76131,108694
76132,63924
76133,75523
76134,70945
76135,74621
76137,90718
76140,75955
76148,89840
76155,73229
76164,52882
76177,104189
76179,107428
76180,81503
76182,120558
76201,39982
76205,68600
76207,85330
76208,88967
76209,75069
76210,113980
76226,180982
76227,111402
76234,93727
76240,71502
76244,122217
76247,124383
76248,171804
76249,120169
76258,103532
76259,101845
76262,151250
76266,99425
76273,82021
76301,41947
76302,59590
76305,78071
76306,46957
76308,74772
76309,54159
76310,82183
76501,62532
76502,82088
76504,52803
76513,80661
76541,37349
76542,74055
76543,48564
76544,62846
76548,80520
76549,70871
76554,75500
76559,76286
76571,111863
76574,78568
76579,85480
76643,83511
76701,30313
76704,30349
76705,58236
76706,41656
76707,40443
76708,68856
76710,58186
76711,53185
76712,97903
76901,69450
76903,49498
76904,81833
76905,84712
77002,86394
77003,83980
77004,71199
77005,229267
77006,106533
77007,144911
77008,143229
77009,83148
77010,189315
77011,50133
77012,45025
77013,47060
77014,55589
77015,57753
77016,47677
77017,51079
77018,127017
